datetime,score,is_last
2:28 2021/06/27,2683,0
2:29 2021/06/27,2700,0
2:30 2021/06/27,2682,0
02:36 2021/06/27,2699,0
02:48 2021/06/27,2686,0
03:04 2021/06/27,2673,0
03:35 2021/06/27,2684,0
03:59 2021/06/27,2697,0
04:11 2021/06/27,2679,1
0:42 2021/06/28,2690,0
00:47 2021/06/28,2675,0
01:00 2021/06/28,2688,1
21:53 2021/06/28,2674,0
22:09 2021/06/28,2688,0
22:21 2021/06/28,2701,0
22:35 2021/06/28,2716,0
22:52 2021/06/28,2702,0
23:08 2021/06/28,2687,0
23:23 2021/06/28,2670,0
23:36 2021/06/28,2681,0
23:51 2021/06/28,2696,0
00:02 2021/06/29,2705,0
00:14 2021/06/29,2717,0
00:27 2021/06/29,2730,0
00:39 2021/06/29,2714,0
00:50 2021/06/29,2725,1
22:50 2021/06/29,2739,0
23:01 2021/06/29,2721,0
23:12 2021/06/29,2705,0
23:25 2021/06/29,2694,0
23:36 2021/06/29,2708,0
23:48 2021/06/29,2720,0
00:00 2021/06/30,2732,0
00:17 2021/06/30,2713,0
00:37 2021/06/30,2727,0
00:51 2021/06/30,2711,0
21:47 2021/07/01,2689,1
21:55 2021/07/01,2680,0
22:09 2021/07/01,2688,0
22:20 2021/07/01,2672,0
22:34 2021/07/01,2687,0
00:36 2021/07/03,2674,0
00:47 2021/07/03,2685,0
00:59 2021/07/03,2674,0
01:09 2021/07/03,2656,0
01:23 2021/07/03,2672,0
01:33 2021/07/03,2663,0
01:45 2021/07/03,2672,0
02:00 2021/07/03,2655,0
02:28 2021/07/03,2657,0
02:40 2021/07/03,2649,0
02:51 2021/07/03,2640,0
03:03 2021/07/03,2630,0
20:53 2021/07/03,2639,0
23:22 2021/07/03,2629,0
23:39 2021/07/03,2642,0
23:54 2021/07/03,2631,0
00:07 2021/07/04,2644,0
01:39 2021/07/04,2653,0
18:29 2021/07/04,2666,0
18:40 2021/07/04,2652,0
22:55 2021/07/04,2664,0
22:55 2021/07/04,2678,0
23:07 2021/07/04,2689,0
23:19 2021/07/04,2674,0
